id,article,who,education,lockdown,politics,bussiness,travel,vaccine,covidstats,entertainment
00001cee341fdb12,"Speaking about an important milestone in the COVID-19 vaccination campaign, European Union (EU) chief Ursula von der Leyen on Tuesday said that 70% of adults in the bloc have been fully immunised. This represents 250 million fully vaccinated people, she added. The EU is also helping in the fight against COVID-19 globally by exporting and donating vaccines, she further said.",0,0,0,0,0,0,1,1,0
0000247867823ef7,"Maharashtra CM Uddhav Thackeray said the central government has asked states to avoid gatherings during Dahi Handi as the third COVID-19 wave is expected. His response came as BJP and MNS protested the ban on Dahi Handi festivities. ""People are trying to be heroes after organising a few Dahi Handis. If you want to fight, fight against COVID-19,"" he said. ",0,0,0,1,0,0,0,0,0
00013b17ad220c46,"South Africa has detected new coronavirus variant with multiple mutations. The new variant, known as C.1.2, has spread to most South African provinces and to seven other countries in Africa, Europe, Asia and Oceania from May to August, according to a preliminary study. Tests to assess impact of mutations it possesses on infectiousness and vaccine resistance are still under way. ",0,0,0,0,0,0,1,1,0
00017695ad8997eb,"Over 1.16 crore COVID-19 vaccine doses were administered in India till 8 pm on Tuesday, marking a new record in single-day vaccinations in the country. India had last crossed the 1-crore milestone just five days ago on August 27. Meanwhile, cumulative coronavirus vaccinations in India crossed 65 crore on Tuesday.",0,0,0,0,0,0,1,1,0
0001ea8717f6de06,"Over 1.16 crore COVID-19 vaccine doses were administered in India till 8 pm on Tuesday, marking a new record in single-day vaccinations in the country. India had last crossed the 1-crore milestone just five days ago on August 27. Meanwhile, cumulative coronavirus vaccinations in India crossed 65 crore on Tuesday.",0,0,0,0,0,0,1,1,0
00024115d4cbde0f,"Delhi has reported 28 new coronavirus cases in the last 24 hours. With this, the tally of COVID-19 cases in the national capital has reached over 14.37 lakh, according to the Delhi State Health Bulletin. While the positivity rate in the last 24 hours was 0.05%, Delhi also reported one death due to COVID-19, the bulletin further stated.",0,0,0,0,0,0,0,1,0
000247e83dcc1211,"Over 1.16 crore COVID-19 vaccine doses were administered in India till 8 pm on Tuesday, marking a new record in single-day vaccinations in the country. India had last crossed the 1-crore milestone just five days ago on August 27. Meanwhile, cumulative coronavirus vaccinations in India crossed 65 crore on Tuesday.",0,0,0,0,0,0,1,1,0
00025358d4737918,"The Health Ministry revealed on Tuesday that India has administered 65 crore doses of COVID-19 vaccine since the vaccination drive started in January. Separately, Health Minister Mansukh Mandaviya said 50 crore people have received their first dose of the vaccine. ""I applaud the hard work of COVID-19 warriors and diligence of citizens in helping achieve this momentous feat,"" he tweeted. ",0,0,0,0,0,0,1,1,0
00026d1092fe71cc,"Malaysian PM Ismail Sabri Yaakob has quarantined himself after coming into contact with a coronavirus infected person, his office said on Monday without revealing the duration of his isolation. The Prime Minister will attend Tuesday's official National Day celebrations virtually, it added. The country has reported more than 17 lakh COVID-19 cases and over 16,000 coronavirus-related deaths so far. ",0,0,0,1,0,0,0,1,0
0002eadc3b301559,"Intensive care cases in Australia's most populous state New South Wales will hit a peak in October amid rising COVID-19 cases, State's Premier Gladys Berejiklian said. The announcement came as the state recorded its highest single-day spike in coronavirus cases at 1,290.  The state is witnessing a surge in COVID-19 cases due to the Delta variant, first found in India.  ",0,0,0,0,0,0,0,1,0
0002f87b16116a7f,"Singapore will send 5,00,000 Pfizer's COVID-19 vaccine doses to Australia this week under a deal to swap shots, Australian PM Scott Morrison said. Under the deal, Australia will have to return the same amount of Pfizer vaccine doses to Singapore in December. Australia, which is witnessing a COVID-19 surge due to Delta variant, has fully vaccinated 27.57% of its population. ",0,0,0,0,0,0,1,1,0
0003806b11932181,"The Bombay High Court on Tuesday expressed concern at overcrowding in public places in Mumbai, like Marine Drive, amid COVID-19 and asked the state government to control it. Quoting an expert who claimed the third COVID-19 wave is knocking at the doors, HC added, ""We need to draw from our experience."" On Monday, Mumbai reported 334 new COVID-19 cases. ",0,0,0,0,0,0,0,1,0
0003e1cccfd5a40a,"Malaysian PM Ismail Sabri Yaakob has quarantined himself after coming into contact with a coronavirus infected person, his office said on Monday without revealing the duration of his isolation. The Prime Minister will attend Tuesday's official National Day celebrations virtually, it added. The country has reported more than 17 lakh COVID-19 cases and over 16,000 coronavirus-related deaths so far. ",0,0,0,1,0,0,0,1,0
00059ace3e3e9a53,"India has reported 30,941 COVID-19 cases and 350 deaths in the last 24 hours. This comes a day after the country reported 42,909 cases and 380 deaths. Kerala accounted for 63% of the new cases as it reported 19,622 cases and 132 deaths on Monday. The total number of cases in India reached 3,27,68,880, while death toll surged to 4,38,560.",0,0,0,0,0,0,0,1,0
000634272d0d44eb,"BMC Commissioner Iqbal Singh Chahal has directed officials to deploy police personnel at the entrances of sealed buildings with over five COVID-19 positive patients in Mumbai, to ensure that nobody enters or exits from such premises. ""Precautionary measures must be taken very strictly, considering the possibility of a third wave and to prevent the spread of COVID-19,"" he added.",0,0,1,0,0,0,0,0,0
000663aff0fffc80,"Priyanka Chopra, speaking to Vogue India about resuming work amid COVID-19, said, ""I spent six months at home feeling...safe with my family, and then Germany was the first time I left to go work."" ""I cried on the plane. I was terrified,"" she added. ""When the pandemic started, I was sleeping in, vegetating on the couch, binge-watching,"" said Priyanka.",0,0,0,0,0,0,0,0,1
000689dd34e20979,"Some Indian states are showing a rising trend of daily COVID-19 cases, indicating early signs of a third wave, a top ICMR official said. ""Several states began imposing COVID-19 restrictions and increased vaccinations, learning from Delhi and Maharashtra. Due to this, the second wave...wasn't as intense, leaving scope for a third wave,"" said ICMR's Dr Samiran Panda.",0,0,1,0,0,0,1,0,0
000834769115370c,"The Health Ministry revealed on Tuesday that India has administered 65 crore doses of COVID-19 vaccine since the vaccination drive started in January. Separately, Health Minister Mansukh Mandaviya said 50 crore people have received their first dose of the vaccine. ""I applaud the hard work of COVID-19 warriors and diligence of citizens in helping achieve this momentous feat,"" he tweeted. ",0,0,0,0,0,0,1,1,0
000844b52dee5f3f,"RBI Governor Shaktikanta Das on Tuesday said the global economy is showing some signs of recovery, but it's ""not yet out of the woods"". ""Last year, I had noted that COVID-19 has crippled global economy....It has been more than a year since,"" he added. He noted that sudden shock delivered by the pandemic called for swift and decisive policy responses.",0,0,0,0,1,0,0,0,0
00084da5d4ead7aa,"Tamil Nadu BJP chief K Annamalai has questioned the state government's decision to prohibit the public celebration of Vinayaka Chaturthi amid COVID-19. He said, ""Vinayaka Chaturthi is part of our lives. We are allowing TASMAC (state-owned liquor shops) to function in our states...Why ban Vinayaka Chaturthi procession alone?...Issuing a blanket ban is unacceptable.""",0,0,1,0,0,0,0,0,0
00091c35fa9d0465,"Singapore will send 5,00,000 Pfizer's COVID-19 vaccine doses to Australia this week under a deal to swap shots, Australian PM Scott Morrison said. Under the deal, Australia will have to return the same amount of Pfizer vaccine doses to Singapore in December. Australia, which is witnessing a COVID-19 surge due to Delta variant, has fully vaccinated 27.57% of its population. ",0,0,0,0,0,0,1,1,0
000968ce11f5ee34,"Delhi has reported 28 new coronavirus cases in the last 24 hours. With this, the tally of COVID-19 cases in the national capital has reached over 14.37 lakh, according to the Delhi State Health Bulletin. While the positivity rate in the last 24 hours was 0.05%, Delhi also reported one death due to COVID-19, the bulletin further stated.",0,0,0,0,0,0,0,1,0
0009734200a85047,"Speaking about an important milestone in the COVID-19 vaccination campaign, European Union (EU) chief Ursula von der Leyen on Tuesday said that 70% of adults in the bloc have been fully immunised. This represents 250 million fully vaccinated people, she added. The EU is also helping in the fight against COVID-19 globally by exporting and donating vaccines, she further said.",0,0,0,0,0,0,1,1,0
00097b6214686db5,"France said that it will provide one crore additional doses of COVID-19 vaccines to African countries over the next three months. The African Union's Vaccine Acquisition Trust will be in charge of distributing the doses. Earlier, France had said that it aims to donate at least six crore doses to the poorest countries before the end of 2021.",0,0,0,0,0,0,1,1,0
0009aef4bd9e1697,"Speaking on global vaccine inequality amid the rollout of booster shots of COVID-19 vaccines, WHO Regional Director for Europe Hans Kluge said that it's a way to keep the most vulnerable safe and ""not a luxury"". Notably, WHO chief Tedros Adhanom Ghebreyesus had earlier called for a two-month pause on administering booster shots as a means of reducing vaccine inequality.",1,0,0,0,0,0,1,0,0
000a02d807ae0254,"Researchers from IIT Bombay have developed an app that helps users get alerts when COVID-19 vaccination slots are available. 'CoVaccinator' app can access data from the servers of the CoWIN portal. Users will be able to click on alerts, log in to the app using the same number as CoWIN and book a slot at a centre of their choice.",0,0,0,0,1,0,1,0,0
000a6c6d4e89b9bc,"Himachal Pradesh has become the first state in India to administer the first dose of the COVID-19 vaccine to 100% of its adult population, claimed state Health Minister Dr Rajiv Saizal. He added, ""We will administer the second dose to 100% of the population by November 30."" The state reported 123 COVID-19 cases and one death on Sunday.",0,0,0,0,0,0,1,1,0
000bafe2080bba82,"New Zealand has reported what authorities said was the country's first recorded death linked to the Pfizer COVID-19 vaccine. An independent vaccine safety monitoring board said the woman's death was ""probably"" due to myocarditis or inflammation of the heart muscle, a rare side effect of the vaccine. The official cause of death has not yet been determined.",0,0,0,0,0,0,1,1,0
000bf0a9894b2807,"Tamil Nadu government on Monday announced that the COVID-19 curbs will be extended till September 15 and denied public entry to beaches on Sundays. In line with previous orders, all religious places will continue to remain shut for the public from Friday to Sunday. Classes for standards 9 to 12 and all colleges will resume as scheduled from September 1.",0,1,1,0,0,0,0,0,0
000c50dceb1eed2b,"The European Union (EU) on Monday removed the US from a safe list of countries for non-essential travel amid the COVID-19 pandemic. Israel, Kosovo, Lebanon, Montenegro and North Macedonia have also been removed from the list compiled by the European Council. Travellers from these countries are likely to face tighter controls, such as COVID-19 tests and quarantines.",0,0,0,0,0,1,0,0,0
000c9b92318552d1,"The number of COVID-19 cases in Tamil Nadu on Monday declined to 1,523 from 1,538 on Sunday, taking the total number of cases in the state to 26,13,360. After 1,739 persons were discharged, the total number of active cases in Tamil Nadu stood at 17,085. The state further reported 21 COVID-19 related deaths on Monday.",0,0,0,0,0,0,0,1,0
000ce41d86f2b886,"France said that it will provide one crore additional doses of COVID-19 vaccines to African countries over the next three months. The African Union's Vaccine Acquisition Trust will be in charge of distributing the doses. Earlier, France had said that it aims to donate at least six crore doses to the poorest countries before the end of 2021.",0,0,0,0,0,0,1,1,0
000cf60dbaed8c02,"Karnataka has made seven-day institutional quarantine mandatory for anyone coming from Kerala, irrespective of COVID-19 vaccination or negative RT-PCR report. Such visitors will have to undergo COVID-19 test on last day of quarantine and may leave if they test negative. Night curfew has been relaxed in all districts except Kodagu, Hassan, Dakshina Kannada and Udupi that share borders with Kerala.",0,0,1,0,0,0,1,0,0
000d4f120d5a7303,"Ten lakh more doses of Moderna COVID-19 vaccine have been temporarily suspended in Japan over contamination of vials. A tiny black substance was found in a Moderna vaccine vial in Gunma, while in Okinawa, black substances were spotted in syringes and a vial, and pink material was found in a different syringe. Earlier, 16 lakh doses were suspended in Japan.",0,0,0,0,0,0,1,1,0
000d60becb7d1a67,"Ten lakh more doses of Moderna COVID-19 vaccine have been temporarily suspended in Japan over contamination of vials. A tiny black substance was found in a Moderna vaccine vial in Gunma, while in Okinawa, black substances were spotted in syringes and a vial, and pink material was found in a different syringe. Earlier, 16 lakh doses were suspended in Japan.",0,0,0,0,0,0,1,1,0
000fc381d4895598,"Delhi recorded 20 new coronavirus cases on Monday. With this, the tally of COVID-19 cases in the national capital has reached over 14.37 lakh, while the death toll mounted to 25,081. Moreover, one fatality and 36 recoveries have been recorded in the last 24 hours, according to the latest bulletin issued by the Delhi health department.",0,0,0,0,0,0,0,1,0
000ff37cf57ab537,"Brihanmumbai Municipal Corporation (BMC) Additional Commissioner has said that COVID-19 will be considered to be in a pandemic stage until 80% population of Mumbai is fully vaccinated. According to data from BMC, of the estimated 96.7 lakh citizens above the age of 18 years, only 24.9% are fully vaccinated. In the past week, Mumbai reported over 300 COVID-19 cases daily.",0,0,0,0,0,0,1,1,0
001068b809feee6b,"The Centre has extended the exemption of import duty on COVID-19 relief items till September 30, the Central Board of Indirect Taxes and Customs (CBIC) said on Monday. These supplies include oxygen-related equipment and COVID-19 vaccines. The decision was made in public interest, CBIC said. The relief, initially granted in April till end of July, was already extended once.",0,0,0,0,1,1,1,0,0
0011c58fcfd6bf91,"The death toll from coronavirus across the world on Monday rose to more than 45 lakh, according to Johns Hopkins University COVID-19 tracker. The total number of coronavirus cases globally rose more than 21.6 crore, the tracker data showed. The US is the worst coronavirus-hit country with nearly 3.9 crore cases and 6.37 lakh deaths.",0,0,0,0,0,0,0,1,0
0011cefc680993ba,"The BJP on Monday criticised the Maharashtra government's decision to ban 'Dahi Handi' celebrations on Janmashtami due to COVID-19 and asked, ""Why are all restrictions being enforced on Hindu festivals in Maharashtra."" BJP MLA Ashish Shelar questioned, ""Is this government taking orders from Taliban?"". He claimed that the Shiv Sena was compromising on its ""Hindutva"".",0,0,0,1,0,0,0,0,0
0011ef6aa33d42e6,"Delhi recorded 20 new coronavirus cases on Monday. With this, the tally of COVID-19 cases in the national capital has reached over 14.37 lakh, while the death toll mounted to 25,081. Moreover, one fatality and 36 recoveries have been recorded in the last 24 hours, according to the latest bulletin issued by the Delhi health department.",0,0,0,0,0,0,0,1,0
